Date,Hour,Consumption,Datetime,is_religious_holiday,is_normal_holiday,is_special_day
31.12.2015,00:00,29590.88,31/12/2015 00:00,0,1,0
31.12.2015,01:00,27785.43,31/12/2015 01:00,0,1,0
31.12.2015,02:00,26516.53,31/12/2015 02:00,0,1,0
31.12.2015,03:00,26091.62,31/12/2015 03:00,0,1,0
31.12.2015,04:00,25871.54,31/12/2015 04:00,0,1,0
31.12.2015,05:00,26053.84,31/12/2015 05:00,0,1,0
31.12.2015,06:00,26889.99,31/12/2015 06:00,0,1,0
31.12.2015,07:00,28103.02,31/12/2015 07:00,0,1,0
31.12.2015,08:00,32321.87,31/12/2015 08:00,0,1,0
31.12.2015,09:00,35759.14,31/12/2015 09:00,0,1,0
31.12.2015,10:00,37296.87,31/12/2015 10:00,0,1,0
31.12.2015,11:00,37768.72,31/12/2015 11:00,0,1,0
31.12.2015,12:00,36450.06,31/12/2015 12:00,0,1,0
31.12.2015,13:00,36764.22,31/12/2015 13:00,0,1,0
31.12.2015,14:00,36830.18,31/12/2015 14:00,0,1,0
31.12.2015,15:00,36026.14,31/12/2015 15:00,0,1,0
31.12.2015,16:00,36069.28,31/12/2015 16:00,0,1,0
31.12.2015,17:00,35753.29,31/12/2015 17:00,0,1,0
31.12.2015,18:00,33700.44,31/12/2015 18:00,0,1,0
31.12.2015,19:00,32030.51,31/12/2015 19:00,0,1,0
31.12.2015,20:00,30138.36,31/12/2015 20:00,0,1,0
31.12.2015,21:00,28960.53,31/12/2015 21:00,0,1,0
31.12.2015,22:00,28606.05,31/12/2015 22:00,0,1,0
31.12.2015,23:00,27705.82,31/12/2015 23:00,0,1,0
01.01.2016,00:00,26277.24,01/01/2016 00:00,0,1,0
01.01.2016,01:00,24991.82,01/01/2016 01:00,0,1,0
01.01.2016,02:00,23532.61,01/01/2016 02:00,0,1,0
01.01.2016,03:00,22464.78,01/01/2016 03:00,0,1,0
01.01.2016,04:00,22002.91,01/01/2016 04:00,0,1,0
01.01.2016,05:00,21957.08,01/01/2016 05:00,0,1,0
01.01.2016,06:00,22203.54,01/01/2016 06:00,0,1,0
01.01.2016,07:00,21844.16,01/01/2016 07:00,0,1,0
01.01.2016,08:00,23094.73,01/01/2016 08:00,0,1,0
01.01.2016,09:00,25202.27,01/01/2016 09:00,0,1,0
01.01.2016,10:00,27224.96,01/01/2016 10:00,0,1,0
01.01.2016,11:00,28908.04,01/01/2016 11:00,0,1,0
01.01.2016,12:00,28789.25,01/01/2016 12:00,0,1,0
01.01.2016,13:00,29367.7,01/01/2016 13:00,0,1,0
01.01.2016,14:00,29548.32,01/01/2016 14:00,0,1,0
01.01.2016,15:00,29390.89,01/01/2016 15:00,0,1,0
01.01.2016,16:00,30734.97,01/01/2016 16:00,0,1,0
01.01.2016,17:00,32048.02,01/01/2016 17:00,0,1,0
01.01.2016,18:00,31438.11,01/01/2016 18:00,0,1,0
01.01.2016,19:00,30728.47,01/01/2016 19:00,0,1,0
01.01.2016,20:00,30166.14,01/01/2016 20:00,0,1,0
01.01.2016,21:00,29461.28,01/01/2016 21:00,0,1,0
01.01.2016,22:00,29242.83,01/01/2016 22:00,0,1,0
01.01.2016,23:00,28069.09,01/01/2016 23:00,0,1,0
02.01.2016,00:00,26224.6,02/01/2016 00:00,0,0,0
02.01.2016,01:00,24708.58,02/01/2016 01:00,0,0,0
02.01.2016,02:00,23771.58,02/01/2016 02:00,0,0,0
02.01.2016,03:00,22921.29,02/01/2016 03:00,0,0,0
02.01.2016,04:00,22870.89,02/01/2016 04:00,0,0,0
02.01.2016,05:00,23325.63,02/01/2016 05:00,0,0,0
