"","loc","coef"
"1","(Intercept)","34098.536942057"
"2","(Intercept)","0"
"3","temp.26.0_36.0","0"
"4","temp.26.0_36.5","0"
"5","temp.26.0_37.0","0"
"6","temp.26.0_37.5","0"
"7","temp.26.0_38.0","0"
"8","temp.26.0_38.5","0"
"9","temp.26.0_39.0","0"
"10","temp.26.0_39.5","0"
"11","temp.26.0_40.0","0"
"12","temp.26.0_40.5","0"
"13","temp.26.0_41.0","0"
"14","temp.26.0_41.5","0"
"15","temp.26.0_42.0","0"
"16","temp.26.5_36.0","0"
"17","temp.26.5_36.5","0"
"18","temp.26.5_37.0","0"
"19","temp.26.5_37.5","0"
"20","temp.26.5_38.0","0"
"21","temp.26.5_38.5","0"
"22","temp.26.5_39.0","0"
"23","temp.26.5_39.5","0"
"24","temp.26.5_40.0","0"
"25","temp.26.5_40.5","0"
"26","temp.26.5_41.0","0"
"27","temp.26.5_41.5","0"
"28","temp.26.5_42.0","0"
"29","temp.27.0_36.0","0"
"30","temp.27.0_36.5","0"
"31","temp.27.0_37.0","0"
"32","temp.27.0_37.5","0"
"33","temp.27.0_38.0","0"
"34","temp.27.0_38.5","0"
"35","temp.27.0_39.0","0"
"36","temp.27.0_39.5","0"
"37","temp.27.0_40.0","0"
"38","temp.27.0_40.5","0"
"39","temp.27.0_41.0","0"
"40","temp.27.0_41.5","0"
"41","temp.27.0_42.0","0"
"42","temp.27.5_36.0","0"
"43","temp.27.5_36.5","0"
"44","temp.27.5_37.0","0"
"45","temp.27.5_37.5","13.7572428389435"
"46","temp.27.5_38.0","10.449178930233"
"47","temp.27.5_38.5","0"
"48","temp.27.5_39.0","0"
"49","temp.27.5_39.5","0"
"50","temp.27.5_40.0","0"
"51","temp.27.5_40.5","0"
"52","temp.27.5_41.0","0"
"53","temp.27.5_41.5","0"
"54","temp.27.5_42.0","0"
"55","temp.28.0_36.0","0"
"56","temp.28.0_36.5","0"
"57","temp.28.0_37.0","0"
"58","temp.28.0_37.5","0"
"59","temp.28.0_38.0","0"
"60","temp.28.0_38.5","0"
"61","temp.28.0_39.0","0"
"62","temp.28.0_39.5","0"
"63","temp.28.0_40.0","0"
"64","temp.28.0_40.5","0"
"65","temp.28.0_41.0","0"
"66","temp.28.0_41.5","0"
"67","temp.28.0_42.0","0"
"68","temp.28.5_36.0","0"
"69","temp.28.5_36.5","0"
"70","temp.28.5_37.0","0"
"71","temp.28.5_37.5","0"
"72","temp.28.5_38.0","0"
"73","temp.28.5_38.5","0"
"74","temp.28.5_39.0","0"
"75","temp.28.5_39.5","0"
"76","temp.28.5_40.0","0"
"77","temp.28.5_40.5","0"
"78","temp.28.5_41.0","0"
"79","temp.28.5_41.5","0"
"80","temp.28.5_42.0","0"
"81","temp.29.0_36.0","0"
"82","temp.29.0_36.5","0"
"83","temp.29.0_37.0","0"
"84","temp.29.0_37.5","0"
"85","temp.29.0_38.0","7.78835883769693"
"86","temp.29.0_38.5","0"
"87","temp.29.0_39.0","0"
"88","temp.29.0_39.5","0"
"89","temp.29.0_40.0","0"
"90","temp.29.0_40.5","0"
"91","temp.29.0_41.0","0"
"92","temp.29.0_41.5","0"
"93","temp.29.0_42.0","0"
"94","temp.29.5_36.0","0"
"95","temp.29.5_36.5","0"
"96","temp.29.5_37.0","0"
"97","temp.29.5_37.5","0"
"98","temp.29.5_38.0","0"
"99","temp.29.5_38.5","0"
"100","temp.29.5_39.0","0"
"101","temp.29.5_39.5","0"
"102","temp.29.5_40.0","0"
"103","temp.29.5_40.5","0"
"104","temp.29.5_41.0","0"
"105","temp.29.5_41.5","0"
"106","temp.29.5_42.0","0"
"107","temp.30.0_36.0","0"
"108","temp.30.0_36.5","0"
"109","temp.30.0_37.0","0"
"110","temp.30.0_37.5","0"
"111","temp.30.0_38.0","0"
"112","temp.30.0_38.5","0"
"113","temp.30.0_39.0","0"
"114","temp.30.0_39.5","0"
"115","temp.30.0_40.0","0"
"116","temp.30.0_40.5","0"
"117","temp.30.0_41.0","0"
"118","temp.30.0_41.5","0"
"119","temp.30.0_42.0","0"
"120","temp.30.5_36.0","0"
"121","temp.30.5_36.5","0"
"122","temp.30.5_37.0","0"
"123","temp.30.5_37.5","0"
"124","temp.30.5_38.0","0"
"125","temp.30.5_38.5","0"
"126","temp.30.5_39.0","0"
"127","temp.30.5_39.5","0"
"128","temp.30.5_40.0","0"
"129","temp.30.5_40.5","0"
"130","temp.30.5_41.0","0"
"131","temp.30.5_41.5","0"
"132","temp.30.5_42.0","0"
"133","temp.31.0_36.0","0"
"134","temp.31.0_36.5","0"
"135","temp.31.0_37.0","0"
"136","temp.31.0_37.5","0"
"137","temp.31.0_38.0","0"
"138","temp.31.0_38.5","0"
"139","temp.31.0_39.0","0"
"140","temp.31.0_39.5","0"
"141","temp.31.0_40.0","0"
"142","temp.31.0_40.5","0"
"143","temp.31.0_41.0","0"
"144","temp.31.0_41.5","0"
"145","temp.31.0_42.0","0"
"146","temp.31.5_36.0","0"
"147","temp.31.5_36.5","0"
"148","temp.31.5_37.0","0"
"149","temp.31.5_37.5","0"
"150","temp.31.5_38.0","0"
"151","temp.31.5_38.5","0"
"152","temp.31.5_39.0","0"
"153","temp.31.5_39.5","0"
"154","temp.31.5_40.0","0"
"155","temp.31.5_40.5","0"
"156","temp.31.5_41.0","0"
"157","temp.31.5_41.5","0"
"158","temp.31.5_42.0","0"
"159","temp.32.0_36.0","0"
"160","temp.32.0_36.5","0"
"161","temp.32.0_37.0","0"
"162","temp.32.0_37.5","0"
"163","temp.32.0_38.0","0"
"164","temp.32.0_38.5","0"
"165","temp.32.0_39.0","0"
"166","temp.32.0_39.5","0"
"167","temp.32.0_40.0","0"
"168","temp.32.0_40.5","0"
"169","temp.32.0_41.0","0"
"170","temp.32.0_41.5","0"
"171","temp.32.0_42.0","0"
"172","temp.32.5_36.0","0"
"173","temp.32.5_36.5","0"
"174","temp.32.5_37.0","0"
"175","temp.32.5_37.5","0"
"176","temp.32.5_38.0","0"
"177","temp.32.5_38.5","0"
"178","temp.32.5_39.0","0"
"179","temp.32.5_39.5","0"
