"Tarih","Saat","UEÇM (MWh)"
"15/01/2015","00:00","27.198,81"
"15/01/2015","01:00","25.362,44"
"15/01/2015","02:00","24.256,71"
"15/01/2015","03:00","23.839,89"
"15/01/2015","04:00","23.675,46"
"15/01/2015","05:00","24.250,87"
"15/01/2015","06:00","26.049,75"
"15/01/2015","07:00","27.106,05"
"15/01/2015","08:00","30.676,18"
"15/01/2015","09:00","33.397,75"
"15/01/2015","10:00","34.345,36"
"15/01/2015","11:00","34.868,10"
"15/01/2015","12:00","33.548,57"
"15/01/2015","13:00","33.872,26"
"15/01/2015","14:00","34.066,07"
"15/01/2015","15:00","33.697,25"
"15/01/2015","16:00","34.311,05"
"15/01/2015","17:00","34.441,81"
"15/01/2015","18:00","33.321,14"
"15/01/2015","19:00","32.260,10"
"15/01/2015","20:00","31.635,55"
"15/01/2015","21:00","31.031,81"
"15/01/2015","22:00","31.131,43"
"15/01/2015","23:00","29.689,50"
"16/01/2015","00:00","27.402,87"
"16/01/2015","01:00","25.570,49"
"16/01/2015","02:00","24.366,55"
"16/01/2015","03:00","23.950,57"
"16/01/2015","04:00","23.962,63"
"16/01/2015","05:00","24.174,80"
"16/01/2015","06:00","26.288,89"
"16/01/2015","07:00","27.366,12"
"16/01/2015","08:00","30.705,61"
"16/01/2015","09:00","33.347,17"
"16/01/2015","10:00","34.491,43"
"16/01/2015","11:00","34.822,15"
"16/01/2015","12:00","32.577,03"
"16/01/2015","13:00","33.393,36"
"16/01/2015","14:00","33.616,92"
"16/01/2015","15:00","33.375,39"
"16/01/2015","16:00","34.082,71"
"16/01/2015","17:00","34.406,57"
"16/01/2015","18:00","33.344,34"
"16/01/2015","19:00","32.045,08"
"16/01/2015","20:00","31.340,85"
"16/01/2015","21:00","30.723,10"
"16/01/2015","22:00","30.992,26"
"16/01/2015","23:00","29.658,12"
"17/01/2015","00:00","27.568,44"
"17/01/2015","01:00","25.806,12"
"17/01/2015","02:00","24.404,21"
"17/01/2015","03:00","23.832,92"
"17/01/2015","04:00","23.850,95"
"17/01/2015","05:00","24.098,57"
"17/01/2015","06:00","25.303,95"
"17/01/2015","07:00","25.554,15"
"17/01/2015","08:00","28.041,56"
"17/01/2015","09:00","30.662,80"
"17/01/2015","10:00","31.969,44"
"17/01/2015","11:00","32.520,93"
"17/01/2015","12:00","31.518,23"
"17/01/2015","13:00","31.357,11"
"17/01/2015","14:00","30.770,98"
"17/01/2015","15:00","30.440,36"
"17/01/2015","16:00","30.872,61"
"17/01/2015","17:00","31.664,26"
"17/01/2015","18:00","31.712,44"
"17/01/2015","19:00","30.841,60"
"17/01/2015","20:00","30.205,50"
"17/01/2015","21:00","29.710,68"
"17/01/2015","22:00","29.673,26"
"17/01/2015","23:00","28.468,61"
"18/01/2015","00:00","26.409,22"
"18/01/2015","01:00","24.652,57"
"18/01/2015","02:00","23.244,83"
"18/01/2015","03:00","22.530,84"
"18/01/2015","04:00","22.541,85"
"18/01/2015","05:00","22.657,89"
"18/01/2015","06:00","23.491,42"
"18/01/2015","07:00","22.662,73"
"18/01/2015","08:00","23.060,85"
"18/01/2015","09:00","24.657,35"
"18/01/2015","10:00","26.285,95"
"18/01/2015","11:00","26.993,20"
"18/01/2015","12:00","26.726,47"
"18/01/2015","13:00","26.910,43"
"18/01/2015","14:00","26.638,31"
"18/01/2015","15:00","26.592,35"
"18/01/2015","16:00","27.351,11"
"18/01/2015","17:00","28.468,00"
"18/01/2015","18:00","28.933,08"
"18/01/2015","19:00","28.662,15"
"18/01/2015","20:00","28.276,04"
"18/01/2015","21:00","27.885,08"
"18/01/2015","22:00","28.088,87"
"18/01/2015","23:00","26.929,24"
"19/01/2015","00:00","25.146,34"
"19/01/2015","01:00","23.353,68"
"19/01/2015","02:00","22.356,76"
"19/01/2015","03:00","21.995,58"
"19/01/2015","04:00","22.099,09"
"19/01/2015","05:00","22.622,85"
"19/01/2015","06:00","24.741,36"
"19/01/2015","07:00","26.031,41"
"19/01/2015","08:00","30.074,76"
"19/01/2015","09:00","33.000,50"
"19/01/2015","10:00","34.006,38"
"19/01/2015","11:00","34.186,13"
"19/01/2015","12:00","32.953,32"
"19/01/2015","13:00","33.080,81"
"19/01/2015","14:00","33.155,78"
"19/01/2015","15:00","32.811,51"
"19/01/2015","16:00","33.614,48"
"19/01/2015","17:00","34.250,56"
"19/01/2015","18:00","33.185,03"
"19/01/2015","19:00","32.003,23"
"19/01/2015","20:00","31.313,95"
"19/01/2015","21:00","30.639,49"
"19/01/2015","22:00","30.647,59"
"19/01/2015","23:00","29.127,51"
"20/01/2015","00:00","27.290,04"
"20/01/2015","01:00","25.604,76"
"20/01/2015","02:00","24.427,03"
"20/01/2015","03:00","23.892,23"
"20/01/2015","04:00","23.933,94"
"20/01/2015","05:00","24.317,54"
"20/01/2015","06:00","26.163,28"
"20/01/2015","07:00","27.141,92"
"20/01/2015","08:00","30.578,61"
"20/01/2015","09:00","32.995,47"
"20/01/2015","10:00","33.608,10"
"20/01/2015","11:00","33.778,13"
"20/01/2015","12:00","32.442,33"
"20/01/2015","13:00","32.526,16"
"20/01/2015","14:00","32.727,21"
"20/01/2015","15:00","32.480,79"
"20/01/2015","16:00","33.114,61"
"20/01/2015","17:00","33.576,42"
"20/01/2015","18:00","32.749,39"
"20/01/2015","19:00","31.883,91"
"20/01/2015","20:00","31.256,83"
"20/01/2015","21:00","30.710,96"
"20/01/2015","22:00","30.501,44"
"20/01/2015","23:00","29.058,30"
"21/01/2015","00:00","27.141,25"
"21/01/2015","01:00","25.397,03"
"21/01/2015","02:00","24.280,36"
"21/01/2015","03:00","23.753,33"
"21/01/2015","04:00","23.731,47"
"21/01/2015","05:00","24.217,49"
"21/01/2015","06:00","25.882,47"
"21/01/2015","07:00","26.801,90"
"21/01/2015","08:00","29.875,68"
"21/01/2015","09:00","31.997,01"
"21/01/2015","10:00","32.693,39"
"21/01/2015","11:00","32.997,00"
"21/01/2015","12:00","31.806,34"
"21/01/2015","13:00","32.052,91"
"21/01/2015","14:00","32.251,29"
"21/01/2015","15:00","31.916,51"
"21/01/2015","16:00","32.520,58"
"21/01/2015","17:00","33.162,81"
"21/01/2015","18:00","32.561,63"
"21/01/2015","19:00","31.608,40"
"21/01/2015","20:00","31.111,81"
"21/01/2015","21:00","30.450,65"
"21/01/2015","22:00","30.296,37"
"21/01/2015","23:00","28.945,71"
"22/01/2015","00:00","26.963,08"
"22/01/2015","01:00","25.247,76"
"22/01/2015","02:00","24.360,52"
"22/01/2015","03:00","23.786,72"
"22/01/2015","04:00","23.719,33"
"22/01/2015","05:00","24.081,31"
"22/01/2015","06:00","25.839,24"
"22/01/2015","07:00","26.739,34"
"22/01/2015","08:00","30.058,69"
"22/01/2015","09:00","32.210,74"
"22/01/2015","10:00","32.823,09"
"22/01/2015","11:00","33.050,06"
"22/01/2015","12:00","31.957,04"
"22/01/2015","13:00","32.224,18"
"22/01/2015","14:00","32.353,56"
"22/01/2015","15:00","32.094,19"
"22/01/2015","16:00","32.656,28"
"22/01/2015","17:00","33.052,68"
"22/01/2015","18:00","32.349,84"
"22/01/2015","19:00","31.658,78"
"22/01/2015","20:00","31.088,20"
"22/01/2015","21:00","30.612,39"
"22/01/2015","22:00","30.466,61"
"22/01/2015","23:00","29.051,65"
"23/01/2015","00:00","27.114,52"
"23/01/2015","01:00","25.613,93"
"23/01/2015","02:00","24.371,26"
"23/01/2015","03:00","23.703,43"
"23/01/2015","04:00","23.862,60"
"23/01/2015","05:00","24.336,87"
"23/01/2015","06:00","25.971,10"
"23/01/2015","07:00","27.067,93"
"23/01/2015","08:00","30.394,99"
"23/01/2015","09:00","32.397,38"
"23/01/2015","10:00","32.982,35"
"23/01/2015","11:00","32.886,03"
"23/01/2015","12:00","31.194,23"
"23/01/2015","13:00","31.768,35"
"23/01/2015","14:00","31.784,59"
"23/01/2015","15:00","31.313,99"
"23/01/2015","16:00","31.980,87"
"23/01/2015","17:00","32.305,35"
"23/01/2015","18:00","31.778,69"
"23/01/2015","19:00","31.014,80"
"23/01/2015","20:00","30.424,70"
"23/01/2015","21:00","29.926,57"
"23/01/2015","22:00","29.688,42"
"23/01/2015","23:00","28.333,28"
"24/01/2015","00:00","26.841,89"
"24/01/2015","01:00","25.425,11"
"24/01/2015","02:00","24.106,31"
"24/01/2015","03:00","23.404,11"
"24/01/2015","04:00","23.288,18"
"24/01/2015","05:00","23.556,98"
"24/01/2015","06:00","24.823,38"
"24/01/2015","07:00","24.889,53"
"24/01/2015","08:00","27.410,92"
"24/01/2015","09:00","29.440,28"
"24/01/2015","10:00","30.779,12"
"24/01/2015","11:00","31.069,29"
"24/01/2015","12:00","30.349,73"
"24/01/2015","13:00","30.221,97"
"24/01/2015","14:00","30.000,37"
"24/01/2015","15:00","29.598,26"
"24/01/2015","16:00","30.030,54"
"24/01/2015","17:00","30.393,54"
"24/01/2015","18:00","30.572,30"
"24/01/2015","19:00","29.965,86"
"24/01/2015","20:00","29.492,82"
"24/01/2015","21:00","28.922,11"
"24/01/2015","22:00","28.547,12"
"24/01/2015","23:00","27.316,74"
"25/01/2015","00:00","25.744,97"
"25/01/2015","01:00","24.160,17"
"25/01/2015","02:00","22.869,04"
"25/01/2015","03:00","22.377,83"
"25/01/2015","04:00","22.243,72"
"25/01/2015","05:00","22.515,63"
"25/01/2015","06:00","23.251,65"
"25/01/2015","07:00","22.161,44"
"25/01/2015","08:00","22.770,08"
"25/01/2015","09:00","24.285,90"
"25/01/2015","10:00","25.860,06"
"25/01/2015","11:00","26.508,47"
"25/01/2015","12:00","26.383,96"
"25/01/2015","13:00","26.558,41"
"25/01/2015","14:00","26.419,17"
"25/01/2015","15:00","26.275,72"
"25/01/2015","16:00","26.793,62"
"25/01/2015","17:00","27.430,99"
"25/01/2015","18:00","27.816,32"
"25/01/2015","19:00","27.648,99"
"25/01/2015","20:00","27.348,96"
"25/01/2015","21:00","26.974,96"
"25/01/2015","22:00","26.790,41"
"25/01/2015","23:00","25.931,16"
"26/01/2015","00:00","24.573,41"
"26/01/2015","01:00","23.129,74"
"26/01/2015","02:00","22.282,93"
"26/01/2015","03:00","21.807,31"
"26/01/2015","04:00","21.841,18"
"26/01/2015","05:00","22.547,16"
"26/01/2015","06:00","24.155,88"
"26/01/2015","07:00","25.117,79"
"26/01/2015","08:00","29.158,57"
"26/01/2015","09:00","31.711,46"
"26/01/2015","10:00","32.919,47"
"26/01/2015","11:00","33.428,42"
"26/01/2015","12:00","32.062,53"
"26/01/2015","13:00","32.360,78"
"26/01/2015","14:00","32.592,60"
"26/01/2015","15:00","32.394,28"
"26/01/2015","16:00","33.034,17"
"26/01/2015","17:00","33.248,74"
"26/01/2015","18:00","32.196,22"
"26/01/2015","19:00","31.141,85"
"26/01/2015","20:00","30.757,25"
"26/01/2015","21:00","30.115,57"
"26/01/2015","22:00","29.998,76"
"26/01/2015","23:00","28.708,62"
"27/01/2015","00:00","26.963,80"
"27/01/2015","01:00","25.406,53"
"27/01/2015","02:00","24.222,34"
"27/01/2015","03:00","23.730,37"
"27/01/2015","04:00","23.859,29"
"27/01/2015","05:00","24.330,17"
"27/01/2015","06:00","25.887,65"
"27/01/2015","07:00","26.529,36"
"27/01/2015","08:00","29.827,53"
"27/01/2015","09:00","31.922,32"
"27/01/2015","10:00","32.896,41"
"27/01/2015","11:00","33.239,33"
"27/01/2015","12:00","32.015,96"
"27/01/2015","13:00","32.202,56"
"27/01/2015","14:00","32.489,48"
"27/01/2015","15:00","32.406,77"
"27/01/2015","16:00","32.997,02"
"27/01/2015","17:00","33.286,06"
"27/01/2015","18:00","32.279,44"
"27/01/2015","19:00","31.218,03"
